ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave2,wave3,wave4,wave5,wave6,wave7
90207,7,170.5575782286874,3.0,0.0,1.0,5.5,2.0,2.0,3.0,3.0,1.7777777777777777,0.0,3.5,2.25,2.6666666666666665,3.0,3.75,0,0,0,0,0,1
90208,7,170.5575782286874,3.4,0.0,1.0,9.0,4.0,4.0,3.0,3.0,2.0,1.0,3.25,2.5,3.0,3.0,3.0,0,0,0,0,0,1
90210,7,164.07029080265193,2.0,0.0,0.0,8.0,3.0,3.0,3.0,3.0,2.6666666666666665,0.0,3.25,1.25,2.0,2.6,2.5,0,0,0,0,0,1
90213,7,170.5575782286874,3.8,0.0,1.0,7.0,4.0,2.0,3.0,3.0,0.0,0.0,3.0,1.25,3.0,2.8,3.0,0,0,0,0,0,1
90214,7,164.07029080265193,1.6,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.5,2.75,2.0,3.4,1.5,0,0,0,0,0,1
90215,7,164.07029080265193,3.0,0.0,0.0,5.0,4.0,2.0,2.0,2.0,1.3333333333333333,1.0,2.25,2.0,2.0,2.6,3.0,0,0,0,0,0,1
90216,7,170.5575782286874,2.8,0.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,3.75,1.5,3.0,3.2,4.0,0,0,0,0,0,1
90217,7,170.5575782286874,4.4,0.0,1.0,5.5,4.0,4.0,3.0,2.0,0.3333333333333333,1.0,2.25,3.0,3.0,2.6,2.5,0,0,0,0,0,1
90222,7,164.07029080265193,3.6,0.0,0.0,5.7,4.0,3.0,3.0,3.0,2.333333333333333,1.0,2.75,2.0,3.0,3.0,3.0,0,0,0,0,0,1
90223,7,164.07029080265193,2.8,0.0,0.0,6.6,4.0,4.0,2.0,3.0,4.333333333333333,1.0,3.0,1.25,1.3333333333333333,2.6,1.75,0,0,0,0,0,1
90225,7,170.5575782286874,2.8,0.0,1.0,4.2,4.0,2.0,4.0,3.0,0.0,1.0,3.0,1.25,2.0,3.0,2.75,0,0,0,0,0,1
90232,7,170.5575782286874,2.6,0.0,1.0,6.0,4.0,2.0,2.0,3.0,4.666666666666666,1.0,3.0,1.25,1.6666666666666667,2.6,2.75,0,0,0,0,0,1
90234,7,164.07029080265193,3.2,0.0,0.0,9.5,2.0,3.0,3.0,4.0,2.6666666666666665,1.0,3.5,2.0,2.6666666666666665,3.0,3.0,0,0,0,0,0,1
90301,7,188.2014656316558,3.4,0.0,1.0,2.0,4.0,3.0,3.0,3.0,0.0,0.0,3.0,2.0,2.6666666666666665,2.6,2.75,0,0,0,0,0,1
90302,7,188.2014656316558,3.4,0.0,1.0,6.5,5.0,5.0,4.0,4.0,0.6666666666666666,1.0,4.0,1.0,4.0,3.4,4.0,0,0,0,0,0,1
90304,7,188.2014656316558,3.0,0.0,1.0,6.0,4.0,4.0,3.0,3.0,1.5,1.0,4.0,1.0,3.0,3.2,2.5,0,0,0,0,0,1
