ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,presch,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6,wave7
15905,2,298.5225394112901,4.0,0.0,1.0,12.0,5.0,2.0,3.0,3.0,2.0,1.0,0.0,3.25,2.75,3.6666666666666665,2.8,3.75,0,0,0,0,0
15906,2,298.5225394112901,4.333333333333333,0.0,1.0,5.0,4.0,4.0,3.0,2.0,0.6666666666666666,1.0,0.0,3.5,2.5,3.3333333333333335,3.0,2.75,0,0,0,0,0
15907,2,298.5225394112901,5.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,1.6666666666666665,1.0,1.0,4.0,2.0,3.6666666666666665,3.2,4.0,0,0,0,0,0
15908,2,298.5225394112901,3.0,0.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,3.5,2.75,2.3333333333333335,2.8,3.5,0,0,0,0,0
15909,2,298.5225394112901,3.3333333333333335,0.0,1.0,7.0,5.0,3.0,3.0,4.0,2.6666666666666665,1.0,1.0,3.75,3.25,2.6666666666666665,3.0,3.5,0,0,0,0,0
15910,2,298.5225394112901,4.666666666666667,0.0,1.0,7.5,4.0,4.0,3.0,4.0,0.3333333333333333,1.0,1.0,4.0,2.25,4.0,3.6,3.25,0,0,0,0,0
15911,2,298.5225394112901,4.333333333333333,0.0,1.0,4.0,4.0,4.0,3.0,4.0,1.5,1.0,0.0,4.0,1.75,3.6666666666666665,3.0,4.0,0,0,0,0,0
15912,2,292.08587683483114,3.6666666666666665,0.0,1.0,7.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.75,2.6666666666666665,3.0,2.75,0,0,0,0,0
15913,2,339.4161429062106,4.333333333333333,0.0,0.0,7.0,4.0,4.0,3.0,3.0,2.0,1.0,0.0,3.25,2.5,3.3333333333333335,2.8,3.5,0,0,0,0,0
15914,2,298.5225394112901,3.0,0.0,1.0,5.0,4.0,4.0,4.0,4.0,0.5555555555555556,1.0,0.0,3.75,1.75,3.3333333333333335,3.6,4.0,0,0,0,0,0
15915,2,339.4161429062106,4.666666666666667,0.0,0.0,3.6,2.0,4.0,2.0,3.0,1.3333333333333333,1.0,1.0,3.25,2.5,3.0,3.2,3.75,0,0,0,0,0
15917,2,298.5225394112901,3.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,0.0,3.0,1.75,3.6666666666666665,3.2,3.5,0,0,0,0,0
15918,2,339.4161429062106,4.666666666666667,0.0,0.0,8.0,4.0,4.0,3.0,4.0,1.6666666666666665,1.0,1.0,4.0,2.25,4.0,3.4,4.0,0,0,0,0,0
15919,2,298.5225394112901,3.6666666666666665,0.0,1.0,8.0,2.0,2.0,2.0,3.0,0.6666666666666666,1.0,0.0,2.75,1.75,3.3333333333333335,2.4,2.75,0,0,0,0,0
15920,2,298.5225394112901,4.0,0.0,1.0,5.0,5.0,4.0,2.0,3.0,3.5,1.0,1.0,3.0,2.0,3.6666666666666665,2.8,3.5,0,0,0,0,0
15921,2,298.5225394112901,4.333333333333333,0.0,1.0,3.0,3.0,3.0,3.0,3.0,1.3333333333333333,1.0,1.0,4.0,1.75,3.6666666666666665,2.8,3.5,0,0,0,0,0
15922,2,339.4161429062106,4.666666666666667,0.0,0.0,6.5,3.0,2.0,3.0,3.0,0.6666666666666666,1.0,1.0,3.75,2.25,3.6666666666666665,3.0,3.75,0,0,0,0,0
15924,2,339.4161429062106,3.0,0.0,0.0,3.0,4.0,2.887606485298159,3.0,3.0,2.0,1.0,1.0,2.5,2.25,2.6666666666666665,2.6,3.0,0,0,0,0,0
16003,2,354.8441494019473,4.666666666666667,0.0,0.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,0.0,4.0,2.75,3.6666666666666665,3.4,3.25,0,0,0,0,0
16004,2,312.09174574816655,3.0,0.0,1.0,8.0,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,1.0,3.75,1.75,3.0,2.2,3.75,0,0,0,0,0
16005,2,354.8441494019473,5.0,0.0,0.0,10.0,4.0,5.0,3.0,3.0,1.3333333333333333,1.0,1.0,4.0,3.0,4.0,3.2,4.0,0,0,0,0,0
16006,2,354.8441494019473,4.333333333333333,0.0,0.0,3.0,5.0,4.0,3.0,3.0,1.3333333333333333,1.0,1.0,3.25,2.0,3.0,3.0,3.25,0,0,0,0,0
