ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6
14615,2,393.9069783450608,4.0,0.0,0.0,4.5,4.0,4.0,3.0,3.0,3.0,1.0,3.25,1.25,3.3333333333333335,2.8,2.75,0,0,0,0
14616,2,393.9069783450608,1.8,0.0,0.0,4.8,2.0,2.0,3.0,4.0,3.333333333333333,1.0,3.0,1.25,2.3333333333333335,2.8,2.75,0,0,0,0
14618,2,549.2873751968029,4.8,0.0,1.0,6.0,5.0,4.0,3.0,4.0,1.6666666666666665,1.0,3.25,2.5,3.3333333333333335,3.4,3.5,0,0,0,0
14622,2,549.2873751968029,2.4,0.0,1.0,1.5,2.0,2.0,3.0,3.0,2.6666666666666665,1.0,3.5,3.5,3.0,3.0,2.75,0,0,0,0
14623,2,393.9069783450608,1.6,0.0,0.0,3.6,4.0,2.0,3.0,2.0,0.0,1.0,4.0,1.5,3.0,3.2,2.5,0,0,0,0
14625,2,549.2873751968029,2.4,0.0,1.0,6.0,2.0,2.0,3.0,4.0,3.333333333333333,1.0,3.0,3.0,2.6666666666666665,2.6,2.75,0,0,0,0
14626,2,393.9069783450608,4.4,0.0,0.0,7.2,4.0,4.0,3.0,4.0,5.0,1.0,4.0,1.0,4.0,4.0,3.75,0,0,0,0
14627,2,549.2873751968029,3.4,0.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,2.3333333333333335,3.0,3.0,0,0,0,0
14628,2,549.2873751968029,4.8,0.0,1.0,9.6,4.0,4.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,3.25,0,0,0,0
14629,2,549.2873751968029,4.4,0.0,1.0,10.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,1.5,3.0,2.8,3.0,0,0,0,0
14630,2,393.9069783450608,3.8,0.0,0.0,7.5,5.0,4.0,3.0,3.0,4.666666666666666,1.0,2.75,1.25,3.3333333333333335,3.0,2.5,0,0,0,0
14631,2,393.9069783450608,4.8,0.0,0.0,7.2,4.0,4.0,3.0,3.0,1.6666666666666665,1.0,3.25,1.0,4.0,3.4,4.0,0,0,0,0
14632,2,549.2873751968029,2.0,0.0,1.0,6.0,2.0,2.0,3.0,3.0,1.0,1.0,3.25,1.25,3.0,3.0,2.5,0,0,0,0
14634,2,549.2873751968029,3.0,0.0,1.0,10.0,4.0,3.0,3.0,3.0,3.0,1.0,2.5,3.0,2.0,3.0,3.0,0,0,0,0
14635,2,393.9069783450608,3.2,0.0,0.0,2.4,4.0,4.0,3.0,2.0,3.1666666666666665,1.0,2.75,2.0,3.0,2.8,3.0,0,0,0,0
14637,2,549.2873751968029,3.0,0.0,1.0,2.4,2.0,2.0,3.0,2.0,3.6666666666666665,1.0,2.5,2.75,2.6666666666666665,3.0,2.75,0,0,0,0
14701,2,351.3224401455945,2.4,0.0,0.0,8.0,4.0,4.0,3.0,3.0,2.0,1.0,2.5,1.5,3.0,2.6,2.25,0,0,0,0
14702,2,351.3224401455945,4.0,0.0,0.0,9.0,5.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,4.0,3.0,4.0,0,0,0,0
14704,2,351.3224401455945,2.4,0.0,0.0,4.2,2.0,2.0,3.0,3.0,1.6666666666666665,1.0,3.5,3.5,3.3333333333333335,3.2,4.0,0,0,0,0
14705,2,351.3224401455945,2.2,0.0,0.0,6.0,4.0,3.0,3.0,3.0,0.0,0.0,1.5,3.0,2.0,3.0,2.25,0,0,0,0
14706,2,351.3224401455945,3.6,0.0,0.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,2.5,2.25,2.6666666666666665,3.4,4.0,0,0,0,0
14707,2,351.3224401455945,2.6,0.0,0.0,1.5,2.0,1.0,3.0,3.0,1.6666666666666665,1.0,3.0,1.25,2.6666666666666665,2.6,2.75,0,0,0,0
14708,2,351.3224401455945,2.4,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,2.25,2.3333333333333335,2.6,3.0,0,0,0,0
14709,2,351.3224401455945,2.0,0.0,0.0,3.6,4.0,2.0,3.0,3.0,2.833333333333333,1.0,3.0,2.0,2.0,2.8,2.25,0,0,0,0
14710,2,351.3224401455945,3.0,0.0,0.0,4.5,2.0,4.0,3.0,3.0,2.9999999999999996,1.0,3.0,2.0,3.0,2.8,2.5,0,0,0,0
14711,2,351.3224401455945,4.2,0.0,0.0,2.4,1.0,1.0,4.0,3.0,1.111111111111111,1.0,4.0,4.0,3.3333333333333335,3.6,2.75,0,0,0,0
14713,2,351.3224401455945,1.0,0.0,0.0,1.5,1.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,2.6666666666666665,2.6,2.5,0,0,0,0
14714,2,351.3224401455945,3.4,0.0,0.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,2.75,1.5,3.0,2.8,2.5,0,0,0,0
14715,2,351.3224401455945,3.2,0.0,0.0,2.4,3.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,3.6666666666666665,3.0,3.0,0,0,0,0
14716,2,351.3224401455945,3.2,0.0,0.0,5.0,4.0,4.0,3.0,4.0,1.4444444444444442,1.0,3.0,1.0,3.0,2.6,3.0,0,0,0,0
14717,2,351.3224401455945,3.2,0.0,0.0,8.0,4.0,2.0,3.0,3.0,1.3333333333333333,1.0,3.5,2.0,3.3333333333333335,3.0,3.0,0,0,0,0
14718,2,351.3224401455945,2.4,0.0,0.0,5.0,4.0,4.0,3.0,3.0,2.0,1.0,3.5,1.25,3.0,3.6,3.5,0,0,0,0
14719,2,351.3224401455945,3.2,0.0,0.0,6.0,4.0,3.0,3.0,1.0,1.0,1.0,2.5,2.25,3.0,3.0,3.75,0,0,0,0
14720,2,351.3224401455945,2.0,0.0,0.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,2.75,2.25,2.6666666666666665,2.8,3.0,0,0,0,0
14721,2,351.3224401455945,1.2,0.0,0.0,10.0,4.0,4.0,3.0,3.0,0.6666666666666666,1.0,2.75,4.0,1.3333333333333333,3.8,3.25,0,0,0,0
14722,2,351.3224401455945,2.6,0.0,0.0,6.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,1.25,3.3333333333333335,2.8,2.5,0,0,0,0
14723,2,351.3224401455945,5.0,0.0,0.0,6.5,4.0,2.0,3.0,4.0,2.0,1.0,3.75,1.0,3.0,2.8,3.0,0,0,0,0
14724,2,351.3224401455945,4.0,0.0,0.0,6.0,4.0,3.0,3.0,3.0,2.6666666666666665,1.0,3.0,2.25,3.3333333333333335,2.8,3.0,0,0,0,0
14725,2,351.3224401455945,3.6,0.0,0.0,5.5,5.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.8,2.75,0,0,0,0
14727,2,351.3224401455945,4.6,0.0,0.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,1.5,1.6666666666666667,4.0,1.75,0,0,0,0
14729,2,351.3224401455945,3.2,0.0,0.0,4.8,5.0,2.0,3.0,3.0,0.6666666666666666,1.0,3.75,1.25,3.0,2.8,2.75,0,0,0,0
